true_label,pred_label,prob_0,prob_1
0,1,0.47098133,0.5290187
0,1,0.46275094,0.5372491
0,0,0.5234024,0.47659758
0,0,0.56080085,0.4391992
0,1,0.41517517,0.5848248
0,0,0.5016144,0.49838564
0,0,0.6488017,0.35119832
0,1,0.46177042,0.5382296
0,0,0.52268124,0.4773188
0,1,0.38122848,0.61877155
0,1,0.46212056,0.53787947
0,1,0.43564567,0.56435436
0,1,0.4875415,0.5124585
0,0,0.5531012,0.44689882
0,1,0.4599388,0.5400612
0,1,0.42949903,0.57050097
0,0,0.5396237,0.4603763
0,1,0.4401235,0.5598765
0,1,0.46613505,0.5338649
0,1,0.43751022,0.56248975
0,0,0.5076014,0.49239862
0,1,0.47390544,0.52609456
0,1,0.41564348,0.58435655
0,0,0.5537749,0.4462251
0,0,0.5266242,0.4733758
0,1,0.47110945,0.52889055
0,1,0.47066215,0.5293379
0,0,0.52941203,0.4705879
0,1,0.48427123,0.5157288
0,0,0.5005012,0.49949878
0,1,0.47157884,0.52842116
0,1,0.47222483,0.5277752
0,1,0.4586952,0.54130477
0,0,0.50486606,0.49513397
0,1,0.4721765,0.5278235
0,1,0.43484595,0.565154
0,0,0.6244907,0.37550932
0,1,0.49504486,0.5049552
0,1,0.44823483,0.55176514
0,1,0.47374687,0.52625316
0,0,0.5527191,0.4472809
0,0,0.50338256,0.4966174
0,0,0.51255846,0.48744148
0,1,0.48499367,0.5150063
0,1,0.4370165,0.5629835
0,0,0.5180059,0.48199412
0,1,0.43819216,0.5618079
0,1,0.49087584,0.50912416
0,1,0.43212438,0.5678756
0,0,0.53829354,0.46170643
0,0,0.5063589,0.49364105
0,0,0.5498097,0.45019028
0,1,0.46237198,0.53762805
0,0,0.56699276,0.4330072
0,0,0.56258005,0.43741995
0,0,0.53377384,0.4662262
0,0,0.54784,0.45215997
0,1,0.44197047,0.55802953
0,1,0.41568682,0.58431315
0,0,0.5611614,0.43883854
0,0,0.62199724,0.37800273
0,1,0.438485,0.56151503
0,0,0.5157775,0.4842225
1,1,0.49693024,0.5030697
1,1,0.46709207,0.5329079
1,0,0.5284214,0.4715786
1,1,0.48976624,0.51023376
1,1,0.44422376,0.5557763
1,0,0.5723297,0.42767033
1,0,0.5065868,0.4934132
1,0,0.56027514,0.43972486
1,1,0.47128484,0.52871513
1,1,0.49692792,0.5030721
1,1,0.47542962,0.5245704
1,1,0.4024829,0.5975171
1,1,0.4896409,0.5103591
1,1,0.488299,0.511701
1,1,0.33636105,0.6636389
1,1,0.4303207,0.56967926
1,0,0.5903843,0.40961564
1,0,0.52523977,0.47476023
1,1,0.40713188,0.59286815
1,1,0.47955325,0.5204468
1,1,0.4830628,0.51693714
1,0,0.53778607,0.46221393
1,1,0.48684368,0.5131563
1,0,0.5337467,0.46625328
1,0,0.5705749,0.42942515
1,1,0.37300253,0.6269975
1,0,0.62707645,0.37292355
1,0,0.53571457,0.4642854
1,1,0.42535007,0.5746499
1,0,0.5411615,0.45883852
1,0,0.5191228,0.48087725
1,1,0.48948073,0.51051927
1,1,0.4463532,0.5536468
1,1,0.4393789,0.56062114
1,0,0.51978815,0.48021182
1,1,0.4816876,0.5183124
1,0,0.5287615,0.47123852
1,1,0.49773517,0.5022648
1,0,0.52510816,0.47489187
1,1,0.48768502,0.51231503
1,0,0.50672674,0.4932733
1,0,0.52878535,0.47121465
1,1,0.47304353,0.52695644
1,0,0.60972893,0.39027104
1,1,0.44685626,0.5531437
1,0,0.52963465,0.47036535
1,1,0.4765865,0.5234135
1,1,0.4459183,0.55408174
1,0,0.5240108,0.47598916
1,1,0.47500914,0.5249909
0,0,0.51200104,0.4879989
0,1,0.43597794,0.56402206
0,0,0.5909938,0.4090062
0,1,0.4577938,0.54220617
0,1,0.48664433,0.51335573
0,1,0.46684507,0.53315496
0,1,0.4949895,0.5050105
0,0,0.5408821,0.45911786
0,0,0.52668613,0.4733139
0,1,0.46979102,0.530209
0,1,0.45278856,0.54721147
0,0,0.5574895,0.44251055
0,1,0.46872595,0.5312741
0,1,0.48736054,0.5126394
0,1,0.46254903,0.53745097
0,0,0.53847337,0.4615267
0,0,0.5239637,0.4760363
0,0,0.54210985,0.45789015
0,0,0.56927574,0.43072426
0,0,0.5674267,0.43257332
0,0,0.5417446,0.45825547
0,1,0.42677793,0.5732221
0,1,0.48588163,0.5141184
0,1,0.4226953,0.5773047
0,1,0.46355173,0.5364483
0,0,0.58358186,0.41641808
0,0,0.6043544,0.39564565
0,0,0.50034106,0.49965894
0,0,0.51732963,0.48267037
0,0,0.5238354,0.47616455
0,1,0.4182761,0.58172387
0,1,0.47770786,0.52229214
0,1,0.48213863,0.5178614
0,0,0.54677516,0.45322487
0,1,0.48228973,0.5177102
0,0,0.5110789,0.48892105
0,0,0.53305334,0.46694666
0,1,0.46853137,0.53146863
0,1,0.43830281,0.5616972
0,0,0.51517063,0.4848294
0,1,0.48397845,0.51602155
0,0,0.5181856,0.48181438
0,0,0.56188333,0.43811667
0,0,0.525936,0.474064
0,0,0.5007483,0.49925172
0,1,0.45747912,0.5425209
0,0,0.5262499,0.47375014
0,1,0.44385913,0.55614084
0,0,0.52147657,0.47852343
0,1,0.467789,0.532211
0,0,0.53983694,0.4601631
0,0,0.5879336,0.4120664
0,1,0.4092994,0.5907006
0,0,0.61974937,0.38025066
0,1,0.48429826,0.5157017
0,0,0.53796834,0.4620317
0,1,0.4585073,0.5414927
0,1,0.48406467,0.5159353
0,1,0.44815844,0.5518415
0,0,0.505081,0.49491906
0,0,0.539308,0.460692
0,0,0.5267119,0.47328818
0,1,0.4766848,0.5233152
0,1,0.49686605,0.50313395
0,0,0.5614863,0.43851364
0,1,0.4762439,0.5237561
0,1,0.46427792,0.53572214
0,0,0.5186438,0.48135617
0,1,0.4984823,0.5015177
0,0,0.5541219,0.44587812
0,1,0.49826598,0.501734
0,0,0.57446235,0.42553765
0,1,0.46976036,0.5302396
0,1,0.49156016,0.5084398
0,0,0.57620376,0.42379624
