slide,ground_truth,prediction,prob_class_0,prob_class_1
1,0,0,0.2657773,0.0001898313
1,0,0,0.5737764,0.0006681797
00006327,0,0,0.28508744,0.01764885
00006328,0,0,0.15431455,0.044384368
00006329,0,0,0.32716152,0.02436613
00006330,0,0,0.69683754,0.0013711596
00006331,0,1,0.0009775641,0.023784652
00006332,0,1,0.004704513,0.038756963
00006333,0,0,0.855339,2.5332313e-06
00006334,0,0,0.8498779,2.18299e-06
00006335,0,0,0.37773603,0.0034395347
00006336,0,0,0.42254886,0.0021204061
00006337,0,0,0.7361046,0.00046394282
00006338,0,0,0.60297537,0.003532164
00006339,0,0,0.70268977,0.0009883425
00006340,0,0,0.408601,0.01079305
00006315,0,0,0.9165411,1.1934888e-07
00006316,0,0,0.8082143,3.1350569e-06
00006317,0,0,0.88148814,1.8464328e-07
00006318,0,0,0.88494366,5.682258e-07
00006341,0,0,0.8588724,3.932337e-05
00006342,0,0,0.85824436,4.188924e-05
00006343,0,0,0.85424215,2.5367633e-05
00006344,0,0,0.5191958,0.005071995
00006345,0,0,0.33295837,0.027457861
00006404,0,0,0.2387389,0.018018011
00006405,0,0,0.30661437,0.0059908545
00006406,0,0,0.3663457,0.0020251998
00006346,0,0,0.79882985,0.00024002977
00006347,0,0,0.8022579,0.00019672072
00006319,0,0,0.7913416,1.6362197e-06
00006320,0,0,0.7165449,8.379606e-06
00006321,0,0,0.7475467,6.5320896e-06
00006348,0,0,0.5085472,0.006132603
00006349,0,0,0.6892214,6.538923e-05
00006350,0,0,0.5073624,0.0001502719
00006351,0,0,0.6209858,0.00016865553
00006352,0,0,0.645235,0.00027148935
00006353,0,0,0.58254313,0.00021793533
00006354,0,0,0.3951319,0.012802379
00006355,0,0,0.4408686,0.011878417
00006356,0,0,0.45061162,0.00014106589
00006357,0,0,0.40700158,0.0002239146
00006358,0,0,0.4158691,0.00026805143
00006322,0,0,0.45587242,0.00080173975
00006323,0,0,0.45439953,0.0007318199
00006324,0,0,0.5955593,6.195771e-05
00006325,0,0,0.80660206,1.553802e-05
00006326,0,0,0.7984747,3.0200634e-05
1,0,0,0.81822366,5.3648248e-05
1,0,0,0.87367195,2.7129943e-05
1.70258E+12,0,0,0.9858879,3.5729562e-09
1.70258E+12,0,0,0.98188245,1.416778e-07
1.70258E+12,0,0,0.96732646,1.0908497e-06
1.70258E+12,0,0,0.90657794,2.6662915e-06
1.70258E+12,0,0,0.9472725,2.8149781e-08
1.70258E+12,0,0,0.9734042,4.3385903e-08
1.70258E+12,0,0,0.9552237,9.330126e-09
1.70258E+12,0,0,0.97357726,1.7761299e-07
1.70258E+12,0,0,0.9800724,1.7780948e-07
1.70258E+12,0,0,0.96738076,2.6700272e-08
1.70258E+12,0,0,0.96692806,1.5700476e-07
1.70258E+12,0,0,0.8608494,2.3954976e-07
3be35919-9ab1-4f62-bdec-18d98d82efa6,1,1,0.0011692386,0.6749674
448746e0-e43f-446c-8017-2148bda88d92,1,1,3.102527e-06,0.8895037
8384f1ea-6fad-4fdc-97b7-1f305fbea16a,1,1,8.375784e-05,0.7002037
a4de35f1-b557-417a-a5d4-efc3334a628c,1,1,0.00096369855,0.30039904
00006359,1,1,0.014896836,0.2918123
00006360,1,0,0.11475555,0.041892566
00006378,1,1,0.000109961125,0.6895416
00006379,1,1,3.0366316e-05,0.67135197
00006380,1,1,6.1791696e-05,0.59298426
00006381,1,1,1.591265e-05,0.65518504
00006382,1,1,0.014352356,0.41730267
00006383,1,1,0.009098758,0.4822969
00006384,1,1,0.0032295997,0.60040224
00006385,1,1,3.783758e-05,0.59946334
00006386,1,1,0.0002919267,0.5298287
00006387,1,1,0.0007910205,0.3835892
00006388,1,1,0.00010048665,0.55066687
00006389,1,1,0.0029884833,0.3756593
00006390,1,1,4.4661996e-05,0.7482321
00006391,1,1,0.00076643546,0.5364708
00006392,1,1,0.00061946793,0.5246806
00006393,1,1,0.09971965,0.15134047
00006394,1,1,0.08478088,0.16168495
00006395,1,1,6.084276e-08,0.897178
00006396,1,1,1.9139037e-07,0.934058
00006397,1,1,1.3210046e-06,0.92907906
00006361,1,1,0.0003875786,0.41835928
00006362,1,1,0.00035688028,0.4164289
00006398,1,1,0.0043970733,0.24298973
00006399,1,1,0.0030819562,0.31037024
00006400,1,0,0.1615242,0.042848095
00006401,1,0,0.2138033,0.020979712
00006402,1,0,0.23211934,0.017468376
00006403,1,0,0.10503613,0.043629408
00006363,1,1,0.049794246,0.099226125
00006364,1,1,0.03680175,0.20001419
00006365,1,1,0.009886653,0.21157691
00006366,1,1,0.004305429,0.3138783
00006367,1,1,2.17116e-10,0.99502194
00006368,1,1,2.5530278e-10,0.9940304
00006369,1,1,4.9554907e-09,0.9935802
00006370,1,1,1.2772135e-08,0.9877082
00006371,1,1,1.04706475e-08,0.98621285
00006372,1,1,0.0005122875,0.6507602
00006373,1,1,0.0005949525,0.6961127
00006374,1,1,0.00041409596,0.6941279
00006375,1,1,2.854502e-05,0.79763126
00006376,1,1,6.9016946e-06,0.8451845
00006377,1,1,9.733508e-06,0.83317345
missing1,1,1,6.5134377e-06,0.87081975
missing2,1,1,1.2731478e-05,0.7538857
H-1,0,0,0.8933676,1.7795652e-06
H-2,0,0,0.8936401,1.1325264e-05
H-3,0,0,0.9047517,1.5013368e-05
H-4,0,0,0.7388387,0.0005010216
I-1,0,0,0.6677836,2.7374695e-05
I-2,0,0,0.88580185,1.8664368e-05
I-3,0,0,0.8343538,1.219063e-05
I-4,0,0,0.2880264,0.002113091
J-1,0,0,0.68628335,0.00016680972
J-2,0,0,0.8862812,5.5932774e-06
J-3,0,0,0.4063176,0.00019959545
J-4,0,0,0.9021784,9.956204e-07
J-5,0,0,0.40810847,0.0001727392
J-6,0,0,0.88966966,1.1502673e-06
J-7,0,0,0.85084814,3.2906657e-05
J-8,0,0,0.93493956,1.4625839e-07
J-9,0,0,0.6568217,0.00015288155
D-1,0,0,0.5479732,0.0013140736
L-1,0,0,0.17587446,0.07105028
L-2,0,0,0.44984147,0.0016637396
L-3,0,0,0.31327498,0.0010374449
M-1,0,0,0.35460514,0.0001449361
M-2,0,0,0.34549707,0.00055429706
M-3,0,0,0.21724883,0.00015002837
M-4,0,0,0.81202006,1.6928518e-06
M-5,0,0,0.71746886,6.169533e-06
P-1,0,1,0.020641461,0.2665001
P-2,0,0,0.18244858,0.0006055228
P-3,0,0,0.5099766,0.002144688
P-4,0,0,0.9448014,6.997312e-07
P-5,0,0,0.2993603,0.009917536
P-6,0,0,0.73467803,0.00060096045
Q-1,0,0,0.061062884,0.0008035751
Q-2,0,0,0.3126368,0.00022528209
Q-3,0,0,0.67911196,1.2051003e-05
Q-4,0,0,0.79941607,4.202503e-06
Q-5,0,0,0.79041475,5.3753365e-06
Q-6,0,0,0.17116769,0.0020395017
Q-7,0,0,0.8644431,1.4622791e-05
R-2,0,0,0.39166728,4.9704387e-05
R-3,0,0,0.7599883,0.00030694596
R-4,0,0,0.53150684,0.00019712202
R-5,0,0,0.5701326,2.3056326e-05
R-6,0,0,0.891534,3.8827508e-05
R-7,0,0,0.58875245,8.0401205e-06
R-8,0,0,0.73768616,1.7395355e-06
N-1,0,0,0.52385354,0.00016210564
U-1,0,0,0.6194295,4.415288e-06
U-2,0,0,0.61587685,2.664663e-06
U-3,0,0,0.87904,1.324562e-06
U-4,0,0,0.9549013,7.0389154e-07
U-6,0,0,0.22052263,0.0009867286
U-7,0,0,0.25336236,4.3593107e-05
V-1,0,0,0.1490442,0.053482946
V-2,0,0,0.2740288,0.014697483
V-3,0,1,7.3241296e-07,0.93354493
V-4,0,1,1.5333619e-05,0.7849333
V-5,0,1,0.051672135,0.24562742
V-6,0,1,0.014043895,0.19395453
V-7,0,0,0.12414651,0.01532533
X-1,0,1,0.006322096,0.4692172
X-2,0,1,0.0029529391,0.43113708
X-3,0,1,0.029622074,0.27298692
X-4,0,0,0.2370123,0.04594584
X-5,0,1,0.028211266,0.28827864
X-6,0,1,0.018767001,0.22314376
Z-1,0,0,0.28707945,0.005449767
Z-2,0,0,0.3493035,0.019920163
Z-3,0,0,0.8007894,0.0002032298
Z-4,0,0,0.9238939,7.351641e-07
Z-5,0,0,0.32618472,0.0030208903
Z-6,0,1,0.02114341,0.20938033
Z-7,0,0,0.32508558,0.0027565854
CC-1,0,1,0.06584708,0.07432722
CC-2,0,1,0.07613562,0.09332602
CC-3,0,0,0.59650695,0.0009763852
CC-4,0,1,3.1995075e-06,0.9386149
CC-5,0,1,2.2722052e-06,0.9171335
A-1,0,0,0.5382537,0.00021724905
EE-1,0,0,0.32482508,0.017745823
EE-2,0,0,0.37423193,0.0029971683
EE-3,0,0,0.44933304,0.0013928178
(A1),0,0,0.15245466,0.0125852395
1D),0,0,0.15799597,0.0066480003
(A1),0,0,0.5988614,0.00029314612
(B1),0,0,0.6593867,3.6250887e-05
(A1-1),0,0,0.8160502,1.6632892e-05
GG-1,0,0,0.25240934,0.0004601801
GG-2,0,0,0.757886,9.417303e-05
B-1,1,1,0.025836907,0.032249477
B-2,1,0,0.04307523,0.013904604
B-3,1,1,0.013835095,0.2624892
B-4,1,1,0.035493024,0.043928497
E-1,1,1,0.0012325807,0.49540552
E-2,1,1,0.0019300176,0.25881723
E-3,1,1,0.00014189695,0.47720116
E-4,1,1,0.0153856175,0.09209431
F-1,1,1,2.6061494e-05,0.6243059
F-2,1,1,0.0003179815,0.46924913
F-3,1,1,0.059516236,0.07599621
F-4,1,1,5.3042942e-05,0.56010604
F-5,1,1,0.004608611,0.3146544
G-1,1,0,0.21024552,0.061869483
G-2,1,0,0.16573921,0.08326204
G-3,1,0,0.1342532,0.111684114
G-4,1,0,0.6947536,0.00087710115
G-5,1,0,0.11959458,0.012620325
C-1,1,1,3.059356e-05,0.4645487
C-10,1,1,0.000792277,0.65364313
C-2,1,1,0.00043357027,0.48536304
C-3,1,1,0.00062466535,0.41605282
C-4,1,1,0.006828891,0.21571155
C-5,1,1,0.018239833,0.07705379
C-6,1,1,1.5037301e-05,0.881665
C-7,1,1,2.169401e-08,0.97739613
