true_label,pred_label,prob_0,prob_1
0,1,0.46192506,0.538075
0,1,0.45541903,0.54458094
0,1,0.46192506,0.538075
0,1,0.45541903,0.54458094
0,1,0.46192506,0.538075
0,1,0.45541903,0.54458094
0,1,0.46192506,0.538075
0,1,0.45541903,0.54458094
0,1,0.46192506,0.538075
0,1,0.45541903,0.54458094
0,1,0.49088308,0.5091169
0,0,0.5849322,0.4150678
0,1,0.40598795,0.5940121
0,0,0.53722125,0.46277878
0,0,0.5832251,0.41677487
0,1,0.46041626,0.53958374
0,0,0.5053463,0.49465367
0,1,0.3793826,0.6206174
0,0,0.54670215,0.45329785
0,1,0.45724824,0.5427518
0,0,0.52571565,0.47428438
0,0,0.587469,0.412531
0,0,0.5009951,0.49900493
0,1,0.4461331,0.5538669
0,0,0.51177514,0.48822483
0,1,0.43307495,0.56692505
0,1,0.47699112,0.5230088
0,1,0.48705465,0.51294535
0,1,0.49088177,0.5091182
0,0,0.5109201,0.48907986
0,1,0.4184517,0.5815483
0,0,0.5548582,0.44514185
0,0,0.5616393,0.4383607
0,1,0.4490167,0.5509833
0,0,0.5002258,0.49977422
0,0,0.5155687,0.48443133
0,1,0.47389296,0.5261071
0,0,0.5080818,0.49191818
0,0,0.51083857,0.48916143
0,1,0.4496086,0.55039144
0,1,0.41592446,0.58407557
0,0,0.51573616,0.48426384
0,1,0.48129177,0.5187082
0,1,0.4787665,0.5212335
0,0,0.5812182,0.41878182
0,0,0.5286612,0.47133878
0,1,0.45697057,0.5430294
0,0,0.51149744,0.48850253
0,0,0.55600864,0.4439914
0,0,0.53465813,0.4653418
0,0,0.5135987,0.48640132
0,1,0.42776567,0.57223433
0,1,0.46303126,0.53696877
0,0,0.5219459,0.4780541
0,1,0.49395868,0.5060413
0,1,0.40399912,0.5960009
0,1,0.45620912,0.5437909
0,0,0.5200695,0.47993052
0,1,0.47872856,0.5212714
0,0,0.5278867,0.4721133
0,1,0.4611683,0.5388318
0,0,0.59694827,0.4030518
0,0,0.5715458,0.4284542
0,0,0.5157094,0.4842906
0,0,0.5717237,0.4282763
0,1,0.4369808,0.56301916
0,1,0.3931966,0.6068034
0,0,0.5795343,0.42046568
0,0,0.6316687,0.3683313
0,1,0.42426795,0.57573205
0,0,0.5651636,0.43483636
1,0,0.55932444,0.4406756
1,1,0.43089268,0.56910735
1,0,0.500772,0.49922803
1,0,0.5040213,0.49597868
1,1,0.44802874,0.5519712
1,0,0.5546317,0.4453683
1,0,0.5391903,0.46080968
1,0,0.5283082,0.4716918
1,0,0.5449961,0.45500392
1,1,0.46791595,0.53208405
1,1,0.46361768,0.5363824
1,1,0.41193193,0.58806807
1,0,0.5387792,0.46122083
1,0,0.59181756,0.40818247
1,1,0.33541298,0.664587
1,1,0.41954714,0.58045286
1,0,0.60479856,0.39520147
1,1,0.4864066,0.5135934
1,1,0.3996985,0.6003015
1,1,0.46791884,0.5320812
1,1,0.42690787,0.5730921
1,1,0.49864092,0.50135905
1,0,0.51940346,0.48059654
1,0,0.5390955,0.46090448
1,0,0.56613654,0.43386346
1,1,0.3784937,0.62150633
1,0,0.670027,0.32997295
1,0,0.5053618,0.4946382
1,1,0.4403337,0.55966634
1,0,0.5675868,0.43241325
1,1,0.4350859,0.56491417
1,0,0.51376474,0.4862353
1,0,0.53312814,0.46687186
1,1,0.463019,0.536981
1,0,0.5081868,0.49181324
1,1,0.48632848,0.5136715
1,0,0.56410027,0.43589967
1,0,0.50625813,0.49374187
1,0,0.5015444,0.49845555
1,1,0.43614882,0.5638512
1,0,0.51744485,0.48255515
1,0,0.50293183,0.49706823
1,1,0.4851125,0.5148875
1,0,0.52303874,0.4769613
1,1,0.40456104,0.59543896
1,0,0.56669146,0.43330857
1,0,0.5283554,0.47164455
1,1,0.44351098,0.55648905
1,0,0.5197615,0.48023844
1,1,0.4947855,0.5052145
0,0,0.54752904,0.45247093
0,1,0.45634001,0.54366
0,0,0.6010799,0.39892018
0,1,0.39359003,0.60640997
0,1,0.46752864,0.53247136
0,0,0.50283307,0.49716696
0,1,0.4390935,0.5609065
0,0,0.57164985,0.42835018
0,0,0.5600378,0.4399622
0,1,0.4842128,0.5157872
0,0,0.5432017,0.4567983
0,0,0.5546636,0.44533643
0,1,0.4680241,0.53197587
0,1,0.49144366,0.5085563
0,1,0.46491107,0.53508896
0,0,0.5443953,0.45560473
0,0,0.5092164,0.49078357
0,0,0.5438699,0.45613015
0,0,0.5874693,0.41253066
0,0,0.5271846,0.4728154
0,0,0.551496,0.44850394
0,1,0.43061203,0.5693879
0,0,0.52768564,0.47231433
0,1,0.43329364,0.5667064
0,1,0.4618128,0.5381872
0,0,0.5879969,0.4120031
0,0,0.5303763,0.46962366
0,1,0.4683359,0.53166413
0,1,0.49978292,0.5002171
0,0,0.5008891,0.49911088
0,1,0.38335574,0.61664426
0,0,0.50741255,0.4925875
0,1,0.48392618,0.51607376
0,0,0.64007735,0.35992268
0,0,0.50105494,0.49894506
0,0,0.5158293,0.48417068
0,0,0.52826685,0.47173312
0,0,0.501441,0.498559
0,1,0.46331802,0.536682
0,1,0.4618635,0.5381365
0,1,0.44424096,0.555759
0,1,0.49650827,0.5034917
0,1,0.49813944,0.50186056
0,0,0.5753028,0.42469722
0,0,0.5035411,0.49645892
0,1,0.4575035,0.5424965
0,1,0.48393485,0.5160651
0,1,0.43317294,0.5668271
0,0,0.5335153,0.46648476
0,0,0.5272933,0.47270665
0,0,0.5379924,0.4620076
0,0,0.561565,0.43843508
0,1,0.39336446,0.6066356
0,0,0.59911686,0.40088308
0,0,0.5219492,0.47805086
0,0,0.5542647,0.44573528
0,0,0.5137073,0.48629272
0,0,0.51299685,0.4870031
0,0,0.50755924,0.49244076
0,0,0.51892173,0.48107827
0,0,0.5655971,0.4344029
0,0,0.5274497,0.47255027
0,1,0.45318845,0.5468116
0,0,0.51244086,0.48755908
0,1,0.49475998,0.50524
0,1,0.4821823,0.5178177
0,1,0.45125046,0.54874957
0,1,0.47619244,0.5238075
0,0,0.50938046,0.49061954
0,0,0.53472567,0.46527433
0,1,0.4699941,0.53000593
0,0,0.55771685,0.44228318
0,1,0.4230981,0.5769019
0,1,0.43458,0.56542
0,0,0.57538253,0.42461747
0,0,0.5132585,0.48674148
0,1,0.4756384,0.5243616
0,1,0.4190597,0.5809403
0,0,0.5152168,0.48478314
0,0,0.5999121,0.40008786
0,1,0.4606374,0.5393626
0,0,0.5506835,0.4493165
0,1,0.4635284,0.5364716
0,1,0.40436852,0.5956315
0,1,0.44588184,0.55411816
0,1,0.4364932,0.5635068
0,0,0.5696392,0.43036085
0,1,0.46728763,0.5327124
0,1,0.4870439,0.51295614
1,0,0.5092031,0.49079698
1,1,0.43509817,0.5649018
1,0,0.5164608,0.48353922
1,1,0.4379774,0.56202257
1,0,0.52028143,0.4797186
1,1,0.4929332,0.5070667
1,1,0.45342025,0.5465797
1,1,0.44340825,0.55659175
1,0,0.6385311,0.36146885
1,1,0.4445284,0.5554716
1,0,0.5219626,0.47803745
1,1,0.4605783,0.5394217
1,0,0.50381356,0.49618644
1,0,0.50827,0.49173003
1,0,0.5612258,0.43877426
1,1,0.4894175,0.5105825
1,1,0.47928405,0.52071595
1,0,0.54214996,0.4578501
1,1,0.47723523,0.52276474
1,0,0.54140186,0.4585981
1,0,0.51915973,0.4808403
1,0,0.5594494,0.44055066
1,1,0.45425764,0.54574233
1,1,0.45797908,0.5420209
1,0,0.6109768,0.38902318
1,0,0.50526494,0.49473506
1,1,0.45743042,0.5425696
1,0,0.51590663,0.48409334
1,1,0.42425647,0.5757435
1,1,0.496047,0.50395304
1,0,0.51236904,0.48763096
1,1,0.4524773,0.5475227
1,1,0.43347856,0.56652147
1,1,0.46584058,0.5341594
