true_label,pred_label,prob_0,prob_1
0,1,0.42863235,0.5713677
0,0,0.62886655,0.37113342
0,0,0.65915316,0.34084684
0,0,0.5903748,0.40962517
0,1,0.37028328,0.62971675
0,1,0.36294797,0.637052
0,0,0.66843116,0.33156884
0,1,0.42742038,0.5725796
0,0,0.65712273,0.3428773
0,1,0.46487114,0.5351289
0,1,0.3939413,0.6060587
0,0,0.6943932,0.3056068
0,1,0.38768083,0.6123191
0,1,0.4777494,0.5222506
0,0,0.54991704,0.45008296
0,0,0.5280827,0.4719173
0,0,0.68555516,0.31444478
0,1,0.49021932,0.50978065
0,1,0.37986118,0.6201388
0,0,0.5408854,0.45911464
0,0,0.58877045,0.4112296
0,0,0.629366,0.37063396
0,1,0.49723303,0.50276697
0,1,0.40203497,0.597965
0,1,0.3556284,0.6443716
0,1,0.48970285,0.5102971
0,0,0.56073177,0.43926826
0,1,0.369926,0.630074
0,0,0.617965,0.382035
0,0,0.5137919,0.48620808
0,1,0.44453225,0.5554678
0,0,0.6226065,0.37739348
0,1,0.3728734,0.62712663
0,1,0.39885652,0.6011434
0,0,0.56256145,0.43743855
0,1,0.49003226,0.5099678
0,1,0.48382106,0.5161789
0,1,0.44889244,0.5511075
0,1,0.46980727,0.5301927
0,0,0.5560511,0.4439489
0,0,0.5140845,0.48591545
0,1,0.4863595,0.51364046
0,1,0.42745432,0.57254565
0,1,0.3182561,0.68174386
0,0,0.5746532,0.42534682
0,1,0.34986532,0.6501346
0,1,0.48528332,0.5147167
0,0,0.6051714,0.39482862
0,1,0.38860896,0.61139107
0,1,0.4954622,0.5045378
0,1,0.44273308,0.5572669
0,1,0.49177513,0.5082249
0,0,0.6515954,0.34840465
0,0,0.6099615,0.3900385
0,1,0.43150717,0.56849277
0,0,0.61341965,0.38658038
0,1,0.3748827,0.6251173
0,0,0.5918715,0.40812853
0,0,0.6473978,0.35260218
0,1,0.38666824,0.61333174
0,1,0.3819765,0.6180235
0,1,0.49641818,0.5035818
0,0,0.6808136,0.31918645
1,0,0.51885706,0.4811429
1,1,0.24955119,0.75044876
1,0,0.5282754,0.4717246
1,0,0.5731339,0.4268661
1,0,0.555885,0.44411498
1,1,0.4475194,0.5524806
1,0,0.5515163,0.44848374
1,1,0.43408915,0.5659108
1,1,0.47820336,0.52179664
1,0,0.5890402,0.4109598
1,1,0.42188877,0.57811123
1,1,0.41638073,0.58361924
1,0,0.6036696,0.39633045
1,1,0.495233,0.504767
1,1,0.4394308,0.56056917
1,1,0.43456495,0.56543505
1,0,0.59591776,0.40408227
1,1,0.40630165,0.5936983
1,1,0.43669516,0.56330484
1,0,0.6190777,0.38092235
1,1,0.4167889,0.58321106
1,0,0.5284547,0.4715453
1,1,0.34389693,0.656103
1,1,0.3931884,0.6068116
1,1,0.48932147,0.5106785
1,1,0.3188629,0.6811371
1,1,0.2996272,0.7003728
1,1,0.44732833,0.5526717
1,0,0.55100334,0.44899663
1,0,0.5388518,0.46114817
1,0,0.5140838,0.48591614
1,0,0.51579887,0.48420116
1,0,0.57883143,0.4211686
1,0,0.52794003,0.47205994
1,1,0.49445114,0.50554883
1,1,0.30756527,0.6924347
1,0,0.534034,0.46596605
1,0,0.5848863,0.4151137
1,0,0.5364031,0.4635969
1,1,0.45195746,0.54804254
1,1,0.3405011,0.6594989
1,0,0.6241774,0.37582257
1,0,0.5789657,0.4210343
1,0,0.55608964,0.44391033
1,1,0.4697849,0.5302151
1,1,0.30284286,0.69715714
1,1,0.48864454,0.51135546
1,0,0.576544,0.42345595
1,0,0.57620716,0.4237929
1,1,0.34511983,0.6548802
0,0,0.5789089,0.4210911
0,0,0.5179345,0.48206553
0,1,0.47371152,0.5262885
0,0,0.62758,0.37242
0,1,0.4159326,0.5840674
0,1,0.37063825,0.62936175
0,1,0.3709448,0.6290552
0,0,0.65064365,0.34935632
0,0,0.5002732,0.49972677
0,0,0.6530914,0.34690863
0,1,0.487785,0.512215
0,0,0.56983733,0.4301627
0,1,0.27206546,0.7279345
0,1,0.42739373,0.57260627
0,1,0.37109852,0.6289015
0,0,0.50702214,0.49297786
0,1,0.35454515,0.6454548
0,0,0.6263363,0.37366378
0,0,0.5531087,0.44689128
0,0,0.6308203,0.36917973
0,1,0.3743579,0.6256421
0,0,0.504681,0.49531895
0,0,0.52824813,0.4717519
0,1,0.4597553,0.54024476
0,0,0.5016379,0.49836212
0,1,0.34582716,0.6541729
0,1,0.3437347,0.65626526
0,0,0.54355526,0.45644474
0,0,0.54103917,0.45896086
0,0,0.50558984,0.49441013
0,0,0.64764583,0.35235417
0,0,0.5320679,0.4679321
0,0,0.5162554,0.48374465
0,0,0.574023,0.425977
